id,title,description,description_plain
260011,ฝ่ายตรวจการ,"หนึ่งในสามองค์กรตุลาการของหวงหลง มีอำนาจในการพิจารณาคดีสำคัญร่วมกันและมีอำนาจในการกำกับดูแลอย่างมีนัยสำคัญ ซึ่งสรุปได้ว่ามีหน้าที่ ""สืบสวนความชั่วร้ายและรักษาวินัย"" เจ้าหน้าที่โดยทั่วไปในฝ่ายตรวจการ ในขณะที่ผู้ที่ประจำการหรือได้รับมอบหมายชั่วคราวในหกเมืองจะถูกเรียกว่า ผู้ตรวจการสืบสวน","หนึ่งในสามองค์กรตุลาการของหวงหลง มีอำนาจในการพิจารณาคดีสำคัญร่วมกันและมีอำนาจในการกำกับดูแลอย่างมีนัยสำคัญ ซึ่งสรุปได้ว่ามีหน้าที่ ""สืบสวนความชั่วร้ายและรักษาวินัย"" เจ้าหน้าที่โดยทั่วไปในฝ่ายตรวจการ ในขณะที่ผู้ที่ประจำการหรือได้รับมอบหมายชั่วคราวในหกเมืองจะถูกเรียกว่า ผู้ตรวจการสืบสวน"
260012,Fenrico ที่หนึ่ง,"เป็นตำแหน่งเดียวกับที่นาโปลีที่สองเคยได้รับ ซึ่งเป็นตำแหน่งที่อัครสังฆราช Fenrico ควรจะได้รับอย่างถูกต้องชอบธรรม อย่างไรก็ตาม ด้วยเหตุผลที่ไม่ทราบแน่ชัด Fenrico ได้สั่งห้ามนักบวชฝึกหัดไม่ให้เรียกเขาด้วยตำแหน่งนี้ จนกระทั่งเขาพบจุดจบที่ก้นบึ้งทะเล ในประวัติศาสตร์ของภาคีเร้นสมุทร เขาคือคนเดียวที่ได้ใช้ชื่อ ""Fenrico""","เป็นตำแหน่งเดียวกับที่นาโปลีที่สองเคยได้รับ ซึ่งเป็นตำแหน่งที่อัครสังฆราช Fenrico ควรจะได้รับอย่างถูกต้องชอบธรรม อย่างไรก็ตาม ด้วยเหตุผลที่ไม่ทราบแน่ชัด Fenrico ได้สั่งห้ามนักบวชฝึกหัดไม่ให้เรียกเขาด้วยตำแหน่งนี้ จนกระทั่งเขาพบจุดจบที่ก้นบึ้งทะเล ในประวัติศาสตร์ของภาคีเร้นสมุทร เขาคือคนเดียวที่ได้ใช้ชื่อ ""Fenrico"""
270001,แดนเสวียนฟาง,พื้นที่ส่วนหนึ่งที่อยู่ระหว่างเมิ่งโจวและจินโจว เป็นเส้นทางจำเป็นจากจินโจวเข้าสู่เมิ่งโจว และยังเป็นด่านสกัดทาเซ็ตดิสคอร์ดที่สำคัญในอดีตด้วย,พื้นที่ส่วนหนึ่งที่อยู่ระหว่างเมิ่งโจวและจินโจว เป็นเส้นทางจำเป็นจากจินโจวเข้าสู่เมิ่งโจว และยังเป็นด่านสกัดทาเซ็ตดิสคอร์ดที่สำคัญในอดีตด้วย
700004,Voidworm,"มอนสเตอร์ที่มีความอันตรายสูง มักจะปรากฏตัวพร้อมกับพายุสุญตา
ในช่วงที่พายุสงบลง จะเคลื่อนไหวภายในเขตแกนกลางของลาไฮรอยบริเวณ ""ลานทรายมอว์เบอร์โรว์"" ซึ่งเต็มไปด้วยสสารสุญตาหนาแน่น ตัวควบคุมสสารสุญตาที่อยู่บริเวณศีรษะคือทั้งแหล่งพลังงานและจุดอ่อนสำคัญของมัน","มอนสเตอร์ที่มีความอันตรายสูง มักจะปรากฏตัวพร้อมกับพายุสุญตา
ในช่วงที่พายุสงบลง จะเคลื่อนไหวภายในเขตแกนกลางของลาไฮรอยบริเวณ ""ลานทรายมอว์เบอร์โรว์"" ซึ่งเต็มไปด้วยสสารสุญตาหนาแน่น ตัวควบคุมสสารสุญตาที่อยู่บริเวณศีรษะคือทั้งแหล่งพลังงานและจุดอ่อนสำคัญของมัน"
700005,ห้องพยาบาล,"ชื่อทางการคือ ""หน่วยพยาบาลเรโซเนเตอร์"" สังกัดวิทยาลัยราเบลล์ ทำหน้าที่ทั้งวิจัยและให้บริการรักษาพยาบาล
ดูแลโดย Luuk Herssen ผู้ทำหน้าที่เป็นแพทย์ประจำสถาบัน ใช้เทคโนโลยี ""การแพทย์เชิงความถี่"" เพื่อให้การสนับสนุนด้านสุขภาพแก่คณาจารย์และนักเรียนของสถาบันสตาร์ทอร์ช","ชื่อทางการคือ ""หน่วยพยาบาลเรโซเนเตอร์"" สังกัดวิทยาลัยราเบลล์ ทำหน้าที่ทั้งวิจัยและให้บริการรักษาพยาบาล
ดูแลโดย Luuk Herssen ผู้ทำหน้าที่เป็นแพทย์ประจำสถาบัน ใช้เทคโนโลยี ""การแพทย์เชิงความถี่"" เพื่อให้การสนับสนุนด้านสุขภาพแก่คณาจารย์และนักเรียนของสถาบันสตาร์ทอร์ช"
700006,ตลับเทปราเบลล์,"ตลับเทปราเบลล์เป็นอุปกรณ์ยืนยันตัวตนที่ออกโดยสหพันธ์สเปซเทรค และเป็นอุปกรณ์ป้องกันความปลอดภัยที่จำเป็นเมื่อปฏิบัติภารกิจในพื้นที่ลาไฮรอย
ตามข้อกำหนดของสถาบัน นักเรียนใหม่ทุกคนต้องทำการบันทึกข้อมูลลงตลับเทปราที่สถาบันวิจัยก่อนออกจากเขตป้องกัน โดยขั้นตอนทั้งหมดจะต้องดำเนินการภายใต้การดูแลของอาจารย์","ตลับเทปราเบลล์เป็นอุปกรณ์ยืนยันตัวตนที่ออกโดยสหพันธ์สเปซเทรค และเป็นอุปกรณ์ป้องกันความปลอดภัยที่จำเป็นเมื่อปฏิบัติภารกิจในพื้นที่ลาไฮรอย
ตามข้อกำหนดของสถาบัน นักเรียนใหม่ทุกคนต้องทำการบันทึกข้อมูลลงตลับเทปราที่สถาบันวิจัยก่อนออกจากเขตป้องกัน โดยขั้นตอนทั้งหมดจะต้องดำเนินการภายใต้การดูแลของอาจารย์"
700007,ตลับเทปบันทึกความถี่,"เทอร์มินัลมาตรฐานสำหรับสมาชิกสหพันธ์สเปซเทรค ภายในจะมี ""ตลับเทปราเบลล์""
ตัวเครื่องผลิตจากวัสดุคอมโพสิตพิเศษที่เลียนแบบคุณสมบัติของ ""Exostrider"" ช่วยลดผลกระทบจากพายุสุญตาได้ในระดับหนึ่ง","เทอร์มินัลมาตรฐานสำหรับสมาชิกสหพันธ์สเปซเทรค ภายในจะมี ""ตลับเทปราเบลล์""
ตัวเครื่องผลิตจากวัสดุคอมโพสิตพิเศษที่เลียนแบบคุณสมบัติของ ""Exostrider"" ช่วยลดผลกระทบจากพายุสุญตาได้ในระดับหนึ่ง"
700008,Exostrider,"ร่างจักรกลขนาดมหึมาที่อารยธรรมต่างถิ่นทิ้งไว้ ปัจจุบันตั้งอยู่บนทุ่งน้ำแข็งโรญา สถาบันสตาร์ทอร์ชถูกก่อตั้งขึ้นเพื่อฝึกผู้ควบคุม หรือเรียกว่า ""ซิงโครนิสต์"" ที่สามารถเกิดการสั่นพ้องภายนอกกับร่างจักรกลนี้ได้
ใน ""ตำนานตรียุค"" ของชาวโรญา ""Exostrider"" ถูกเรียกว่า ""Baldur"" อวตาร์ในโลกมนุษย์ของสุริยะ ""Sol"" ว่ากันว่า ท่านเป็นผู้ใช้ดาบยักษ์ค้ำยันเปลือกโลกที่กำลังพังทลาย ช่วยชาวโรญาให้รอดพ้นจากความหายนะ เชื่อว่าครั้นถึงวาระสุดท้าย ท่านจะตื่นขึ้นเพื่อต่อกรกับ ""Hvedrungr"" เทพมฤตยูผู้ทำลายล้าง","ร่างจักรกลขนาดมหึมาที่อารยธรรมต่างถิ่นทิ้งไว้ ปัจจุบันตั้งอยู่บนทุ่งน้ำแข็งโรญา สถาบันสตาร์ทอร์ชถูกก่อตั้งขึ้นเพื่อฝึกผู้ควบคุม หรือเรียกว่า ""ซิงโครนิสต์"" ที่สามารถเกิดการสั่นพ้องภายนอกกับร่างจักรกลนี้ได้
ใน ""ตำนานตรียุค"" ของชาวโรญา ""Exostrider"" ถูกเรียกว่า ""Baldur"" อวตาร์ในโลกมนุษย์ของสุริยะ ""Sol"" ว่ากันว่า ท่านเป็นผู้ใช้ดาบยักษ์ค้ำยันเปลือกโลกที่กำลังพังทลาย ช่วยชาวโรญาให้รอดพ้นจากความหายนะ เชื่อว่าครั้นถึงวาระสุดท้าย ท่านจะตื่นขึ้นเพื่อต่อกรกับ ""Hvedrungr"" เทพมฤตยูผู้ทำลายล้าง"
700009,ซิงโครนิสต์,"ผู้ควบคุมฝึกหัดที่ได้ผ่านการคัดเลือกจากภูมิภาคต่างๆ ของโซลาริส และสามารถใช้อุปกรณ์กลไกภายนอกในการเชื่อมสำนึกเข้ากับร่าง ""Exostrider""
ซิงโครนิสต์อาจควบคุม ""Exostrider"" ได้ในระดับหนึ่งโดย ""เกิดการสั่นพ้องภายนอก"" สถาบันสตาร์ทอร์ชจึงได้ตั้งวิทยาลัยราเบลล์ขึ้นมา เพื่อคัดเลือกและฝึกฝนซิงโครนิสต์เหล่านี้โดยเฉพาะ","ผู้ควบคุมฝึกหัดที่ได้ผ่านการคัดเลือกจากภูมิภาคต่างๆ ของโซลาริส และสามารถใช้อุปกรณ์กลไกภายนอกในการเชื่อมสำนึกเข้ากับร่าง ""Exostrider""
ซิงโครนิสต์อาจควบคุม ""Exostrider"" ได้ในระดับหนึ่งโดย ""เกิดการสั่นพ้องภายนอก"" สถาบันสตาร์ทอร์ชจึงได้ตั้งวิทยาลัยราเบลล์ขึ้นมา เพื่อคัดเลือกและฝึกฝนซิงโครนิสต์เหล่านี้โดยเฉพาะ"
700010,แกนปฏิกรณ์,"แกนพลังงานของ ""Exostrider"" — ""สุริยะ"" แห่งลาไฮรอยใต้ดิน
ตามตำนานชาวโรญา นี่คือพลังงานที่ Exostrider ดึงออกมาแล้วฝังไว้ใต้ผืนดิน ช่วยให้โอเอซิสใต้ดินนี้สามารถดำรงอยู่ได้ ข้อมูลล่าสุดชี้ว่าอัตราการปลดปล่อยพลังงานของแกนปฏิกรณ์กำลังลดลงอย่างต่อเนื่อง ทั้งชาวโรญาและสหพันธ์สเปซเทรคจึงเริ่มร่างมาตรการฉุกเฉินเพื่อรับมือวิกฤตที่อาจเกิดขึ้น","แกนพลังงานของ ""Exostrider"" — ""สุริยะ"" แห่งลาไฮรอยใต้ดิน
ตามตำนานชาวโรญา นี่คือพลังงานที่ Exostrider ดึงออกมาแล้วฝังไว้ใต้ผืนดิน ช่วยให้โอเอซิสใต้ดินนี้สามารถดำรงอยู่ได้ ข้อมูลล่าสุดชี้ว่าอัตราการปลดปล่อยพลังงานของแกนปฏิกรณ์กำลังลดลงอย่างต่อเนื่อง ทั้งชาวโรญาและสหพันธ์สเปซเทรคจึงเริ่มร่างมาตรการฉุกเฉินเพื่อรับมือวิกฤตที่อาจเกิดขึ้น"
700011,เส้นทางสตาร์เวิร์ด,"ระบบขนส่งยกระดับขนาดใหญ่ที่สร้างขึ้นโดยอิงโครงสร้างของดาบยักษ์ เชื่อมลาไฮรอยกับทุ่งน้ำแข็งโรญา
มีรูปทรงคล้ายกระดูกสันหลังพาดผ่านฟ้าดิน อาศัยเทคโนโลยีขับดันแบบรางความเร็วสูง จากใต้ดินถึงทุ่งน้ำแข็ง เป็นศูนย์กลางคมนาคมของภูมิภาคลาไฮรอย","ระบบขนส่งยกระดับขนาดใหญ่ที่สร้างขึ้นโดยอิงโครงสร้างของดาบยักษ์ เชื่อมลาไฮรอยกับทุ่งน้ำแข็งโรญา
มีรูปทรงคล้ายกระดูกสันหลังพาดผ่านฟ้าดิน อาศัยเทคโนโลยีขับดันแบบรางความเร็วสูง จากใต้ดินถึงทุ่งน้ำแข็ง เป็นศูนย์กลางคมนาคมของภูมิภาคลาไฮรอย"
700012,ดาบยักษ์,"อาวุธขนาดยักษ์ที่หลงเหลือจาก ""Exostrider"" ปลายดาบปักลึกลงสู่ทะเลสาบซันเดอร์เมียร์ ส่วนด้ามค้ำยันเพดานของพื้นที่ใต้ดิน โครงสร้างของมันพาดผ่านพื้นที่ใจกลางของชาวโรญา
ใน ""ตำนานตรียุค"" ได้ทำนายว่า ""Baldur"" จะดึงดาบนี้ขึ้นในวาระสุดท้าย เพื่อต่อกรกับเทพมฤตยู ""Hvedrungr""","อาวุธขนาดยักษ์ที่หลงเหลือจาก ""Exostrider"" ปลายดาบปักลึกลงสู่ทะเลสาบซันเดอร์เมียร์ ส่วนด้ามค้ำยันเพดานของพื้นที่ใต้ดิน โครงสร้างของมันพาดผ่านพื้นที่ใจกลางของชาวโรญา
ใน ""ตำนานตรียุค"" ได้ทำนายว่า ""Baldur"" จะดึงดาบนี้ขึ้นในวาระสุดท้าย เพื่อต่อกรกับเทพมฤตยู ""Hvedrungr"""
700013,Hyvatia,"อุปกรณ์เฝ้าระวังที่สหพันธ์สเปซเทรคติดตั้งไว้บนพื้นผิวทะเลสาบซันเดอร์เมียร์ เพื่อตรวจสอบและดูแลสถานะของ ""แกนปฏิกรณ์"" แกนกลางของอุปกรณ์นี้ติดตั้ง สำเนา โมดูลปรับเทียบของ ""Exostrider"" เอาไว้ ซึ่งสามารถสร้างลิงก์ข้อมูลแบบกำหนดทิศทางกับแกนปฏิกรณ์ได้ โดยจะส่งพารามิเตอร์การปรับเทียบแบบเรียลไทม์เพื่อช่วยกู้คืนเสถียรภาพเมื่อระบบทำงานผิดปกติ ซึ่งรับประกันได้ว่าแกนปฏิกรณ์จะทำงานได้อย่างต่อเนื่อง","อุปกรณ์เฝ้าระวังที่สหพันธ์สเปซเทรคติดตั้งไว้บนพื้นผิวทะเลสาบซันเดอร์เมียร์ เพื่อตรวจสอบและดูแลสถานะของ ""แกนปฏิกรณ์"" แกนกลางของอุปกรณ์นี้ติดตั้ง สำเนา โมดูลปรับเทียบของ ""Exostrider"" เอาไว้ ซึ่งสามารถสร้างลิงก์ข้อมูลแบบกำหนดทิศทางกับแกนปฏิกรณ์ได้ โดยจะส่งพารามิเตอร์การปรับเทียบแบบเรียลไทม์เพื่อช่วยกู้คืนเสถียรภาพเมื่อระบบทำงานผิดปกติ ซึ่งรับประกันได้ว่าแกนปฏิกรณ์จะทำงานได้อย่างต่อเนื่อง"
700014,บาเรียป้องกันสสารสุญตา,"อุปกรณ์ป้องกันเฉพาะทางที่พัฒนาขึ้นโดยสถาบันสตาร์ทอร์ช จากงานวิศวกรรมย้อนรอยผิวและโครงเส้นใยของ ""Exostrider"" เพื่อป้องกันการกัดกร่อนของสสารสุญตาในระดับหนึ่ง
อุปกรณ์นี้ถูกใช้เป็นอุปกรณ์ป้องกันมาตรฐานในค่ายสหพันธ์สเปซเทรค สถานีสำรวจและจุดขนส่งต่างๆ โดย ""ม่านต้านสสารสุญตา"" ที่สถาบันสตาร์ทอร์ช คือบาเรียป้องกันสสารสุญตาขนาดใหญ่ที่สุดในปัจจุบัน","อุปกรณ์ป้องกันเฉพาะทางที่พัฒนาขึ้นโดยสถาบันสตาร์ทอร์ช จากงานวิศวกรรมย้อนรอยผิวและโครงเส้นใยของ ""Exostrider"" เพื่อป้องกันการกัดกร่อนของสสารสุญตาในระดับหนึ่ง
อุปกรณ์นี้ถูกใช้เป็นอุปกรณ์ป้องกันมาตรฐานในค่ายสหพันธ์สเปซเทรค สถานีสำรวจและจุดขนส่งต่างๆ โดย ""ม่านต้านสสารสุญตา"" ที่สถาบันสตาร์ทอร์ช คือบาเรียป้องกันสสารสุญตาขนาดใหญ่ที่สุดในปัจจุบัน"
